location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Phoenix,1/1/2014 0:00,0,0,0.04,0
"Charleston, SC, US",1/1/2014 0:00,0,0,0.01,0
Minneapolis,1/1/2014 0:00,0,0,0,0
Pensacola,1/1/2014 0:00,0,0,0.01,0
Savannah,1/1/2014 0:00,0,0,0,0
Seattle,1/1/2014 0:00,0,0,0,0
"Charleston, SC, US",2/1/2014 0:00,0,0,0.03,0
Minneapolis,2/1/2014 0:00,0,0,0,0
Pensacola,2/1/2014 0:00,0,0,0.03,0
Savannah,2/1/2014 0:00,0,0,0,0
Seattle,2/1/2014 0:00,0,0,0,0
Minneapolis,3/1/2014 0:00,0,0,0,0
Seattle,3/1/2014 0:00,0,0,0,0
Minneapolis,4/1/2014 0:00,0,0,0,0
Savannah,4/1/2014 0:00,0,0,0.04,0
Seattle,4/1/2014 0:00,0,0,0,0
Seattle,5/1/2014 0:00,0,0,0.03,0
Minneapolis,10/1/2014 0:00,0,0,0.01,0
Seattle,10/1/2014 0:00,0,0,0.02,0
Minneapolis,11/1/2014 0:00,0,0,0,0
Savannah,11/1/2014 0:00,0,0,0.06,0
Seattle,11/1/2014 0:00,0,0,0,0
Minneapolis,12/1/2014 0:00,0,0,0,0
Savannah,12/1/2014 0:00,0,0,0,0
Seattle,12/1/2014 0:00,0,0,0,0
Phoenix,2/1/2014 0:00,0.01,0,0.1,0
"Charleston, SC, US",3/1/2014 0:00,0.01,0,0.13,0
Pensacola,3/1/2014 0:00,0.01,0,0.07,0
Savannah,3/1/2014 0:00,0.01,0,0.07,0
"Charleston, SC, US",4/1/2014 0:00,0.01,0,0.07,0
Pensacola,4/1/2014 0:00,0.01,0,0.07,0
Minneapolis,5/1/2014 0:00,0.01,0,0.15,0
Savannah,10/1/2014 0:00,0.01,0,0.09,0
"Charleston, SC, US",12/1/2014 0:00,0.01,0,0.11,0
Savannah,5/1/2014 0:00,0.02,0,0.09,0
Seattle,6/1/2014 0:00,0.02,0,0.28,0
Phoenix,12/1/2014 0:00,0.02,0,0.13,0
Rio de Janeiro,2/1/2014 0:00,0.03,0,0.12,0
Pensacola,5/1/2014 0:00,0.03,0,0.1,0
Seattle,9/1/2014 0:00,0.03,0,0.33,0
Rio de Janeiro,3/1/2014 0:00,0.04,0,0.15,0
Rio de Janeiro,4/1/2014 0:00,0.04,0,0.2,0
"Charleston, SC, US",11/1/2014 0:00,0.04,0,0.3,0
Rio de Janeiro,1/1/2014 0:00,0.05,0,0.19,0
"Charleston, SC, US",10/1/2014 0:00,0.05,0,0.19,0
Phoenix,4/1/2014 0:00,0.06,0,0.34,0
"Charleston, SC, US",5/1/2014 0:00,0.06,0,0.19,0
Minneapolis,9/1/2014 0:00,0.06,0,0.53,0
Phoenix,3/1/2014 0:00,0.07,0,0.67,0
Rio de Janeiro,5/1/2014 0:00,0.07,0,0.5,0
Savannah,9/1/2014 0:00,0.07,0,0.23,0
Savannah,6/1/2014 0:00,0.09,0,0.24,0
Rio de Janeiro,6/1/2014 0:00,0.11,0,0.76,0
Savannah,8/1/2014 0:00,0.11,0.01,0.28,0
Seattle,8/1/2014 0:00,0.11,0,0.72,0
Rio de Janeiro,10/1/2014 0:00,0.11,0,0.45,0
Minneapolis,6/1/2014 0:00,0.12,0,0.73,0
Phoenix,11/1/2014 0:00,0.12,0,0.82,0
Seattle,7/1/2014 0:00,0.13,0,0.83,0
"Charleston, SC, US",9/1/2014 0:00,0.15,0.01,0.36,0
Savannah,7/1/2014 0:00,0.16,0.01,0.37,0
Rio de Janeiro,7/1/2014 0:00,0.19,0,0.98,0
Pensacola,6/1/2014 0:00,0.2,0.02,0.43,0
Rio de Janeiro,8/1/2014 0:00,0.21,0,0.93,0
Rio de Janeiro,9/1/2014 0:00,0.23,0,0.85,0
Phoenix,5/1/2014 0:00,0.24,0,0.61,0
Rio de Janeiro,12/1/2014 0:00,0.26,0,0.75,0
"Charleston, SC, US",8/1/2014 0:00,0.27,0.04,0.55,0
"Charleston, SC, US",6/1/2014 0:00,0.28,0.02,0.6,0
Phoenix,10/1/2014 0:00,0.28,0,0.77,0
Minneapolis,8/1/2014 0:00,0.32,0,0.87,0
Minneapolis,7/1/2014 0:00,0.36,0,0.91,0
Rio de Janeiro,11/1/2014 0:00,0.36,0,0.93,0
"Charleston, SC, US",7/1/2014 0:00,0.37,0.06,0.7,0
