STATION,STATION_NAME,DATE,EMXP,MXSD,TPCP,TSNW,EMXT,EMNT,MMXT,MMNT,MNTM
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20150401,147,-9999,252,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20150501,185,-9999,1043,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20150601,325,-9999,1358,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20150701,645,-9999,1901,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20150801,269,-9999,915,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20150901,340,-9999,1197,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20151001,384,-9999,853,0,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20151101,513,76,1331,87,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0067,ROSEMOUNT 4.1 W MN US,20151201,208,203,1104,239,-9999,-9999,-9999,-9999,-9999
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140101,211,0,613,0,239,-71,141,20,80
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140201,107,0,432,0,278,-5,192,66,129
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140301,193,0,673,0,283,6,202,71,137
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140401,577,0,1410,0,322,61,263,139,201
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140501,478,0,886,0,361,106,301,179,240
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140601,1689,0,2956,0,356,183,328,218,273
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140701,305,0,1073,0,367,211,333,232,283
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140801,361,0,865,0,378,183,337,231,284
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20140901,470,0,1302,0,356,156,301,215,258
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20141001,157,0,437,0,322,78,278,144,211
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20141101,541,0,1180,0,283,-32,203,69,136
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20141201,396,0,1021,0,267,-5,191,73,132
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150101,480,0,1047,0,250,-66,157,38,98
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150201,378,0,874,0,261,-60,148,22,85
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150301,97,0,513,0,306,6,227,106,166
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150401,747,0,1657,0,317,89,266,159,213
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150501,168,0,313,0,344,94,293,175,234
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150601,495,0,1431,0,372,183,332,219,275
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150701,396,0,1361,0,372,211,342,233,287
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150801,366,0,1994,0,350,217,322,231,276
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20150901,264,0,736,0,339,133,295,207,251
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20151001,140,0,454,0,294,56,256,146,201
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20151101,208,0,869,0,294,6,231,126,179
GHCND:USW00003822,SAVANNAH INTERNATIONAL AIRPORT GA US,20151201,290,0,854,0,283,0,234,124,179
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20141001,30,-9999,50,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20141101,36,-9999,166,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:US1MNDK0056,EAGAN 2.4 WSW MN US,20141201,66,-9999,232,-9999,-9999,-9999,-9999,-9999,-9999
